iter	Passed	Remaining
798	2559	643
799	2561	640
800	2564	637
801	2568	634
802	2570	630
803	2573	627
804	2577	624
805	2580	621
806	2583	617
807	2586	614
808	2589	611
809	2593	608
810	2596	605
811	2600	602
812	2604	599
813	2608	595
814	2611	592
815	2615	589
816	2619	586
817	2622	583
818	2626	580
819	2629	577
820	2633	574
821	2636	570
822	2639	567
823	2643	564
824	2647	561
825	2650	558
826	2654	555
827	2657	552
828	2661	548
829	2664	545
830	2667	542
831	2671	539
832	2674	536
833	2678	533
834	2682	529
835	2686	526
836	2690	523
837	2693	520
838	2696	517
839	2699	514
840	2702	510
841	2705	507
842	2709	504
843	2711	501
844	2714	497
845	2717	494
846	2720	491
847	2723	488
848	2726	484
849	2729	481
850	2731	478
851	2734	475
852	2737	471
853	2740	468
854	2743	465
855	2745	461
856	2748	458
857	2751	455
858	2754	452
859	2757	448
860	2760	445
861	2763	442
862	2766	439
863	2769	435
864	2771	432
865	2774	429
866	2777	426
867	2780	422
868	2783	419
869	2785	416
870	2788	413
871	2791	409
872	2794	406
873	2796	403
874	2799	399
875	2802	396
876	2805	393
877	2808	390
878	2811	386
879	2814	383
880	2817	380
881	2820	377
882	2823	374
883	2827	371
884	2830	367
885	2833	364
886	2836	361
887	2839	358
888	2842	354
889	2845	351
890	2848	348
891	2851	345
892	2854	342
893	2857	338
894	2860	335
895	2863	332
896	2866	329
897	2869	325
898	2872	322
899	2875	319
900	2877	316
901	2881	313
902	2883	309
903	2886	306
904	2889	303
905	2892	300
906	2895	296
907	2897	293
908	2900	290
909	2903	287
910	2906	283
911	2909	280
912	2912	277
913	2915	274
914	2918	271
915	2921	267
916	2924	264
917	2927	261
918	2930	258
919	2933	255
920	2936	251
921	2939	248
922	2941	245
923	2944	242
924	2947	238
925	2950	235
926	2953	232
927	2956	229
928	2958	226
929	2961	222
930	2964	219
931	2967	216
932	2970	213
933	2973	210
934	2976	206
935	2979	203
936	2982	200
937	2985	197
938	2988	194
939	2991	190
940	2994	187
941	2997	184
942	3000	181
943	3003	178
944	3005	174
945	3008	171
946	3011	168
947	3014	165
948	3018	162
949	3020	158
950	3023	155
951	3026	152
952	3029	149
953	3031	146
954	3034	142
955	3037	139
956	3040	136
957	3043	133
958	3045	130
959	3048	127
960	3051	123
961	3054	120
962	3057	117
963	3060	114
964	3063	111
965	3065	107
966	3068	104
967	3071	101
968	3074	98
969	3077	95
970	3080	91
971	3083	88
972	3086	85
973	3089	82
974	3092	79
975	3095	76
976	3098	72
977	3101	69
978	3104	66
979	3108	63
980	3111	60
981	3114	57
982	3117	53
983	3120	50
984	3123	47
985	3126	44
986	3129	41
987	3132	38
988	3135	34
989	3138	31
990	3141	28
991	3145	25
992	3148	22
993	3151	19
994	3153	15
995	3156	12
996	3159	9
997	3162	6
998	3165	3
999	3168	0
